i (mA/cm2),eta_a,eta_c,eta_ohmic,Eload
3.57932667523902e-06,0.07500000000000018,-1.6527969481916451,8.948316688097549e-10,0.7840317663492042
3.7982567102808016e-06,0.08000000000000007,-1.656802029253916,9.495641775702004e-10,0.7750266852322012
4.0168256236931005e-06,0.08499999999999996,-1.6620085522921748,1.0042064059232752e-09,0.7648201621393
4.235358275990059e-06,0.08999999999999986,-1.6669641671399393,1.0588395689975148e-09,0.7548645472369024
4.454170810909512e-06,0.0950000000000002,-1.6715882022335062,1.1135427027273782e-09,0.7452405120886323
4.6735713438613245e-06,0.10000000000000009,-1.6759948049649207,1.168392835965331e-09,0.7358339093023676
4.893860620434541e-06,0.10499999999999998,-1.6802308703913713,1.2234651551086352e-09,0.7265978438208447
5.11533264671269e-06,0.10999999999999988,-1.6855629034554482,1.2788331616781727e-09,0.7162658107014002
5.338275293057067e-06,0.11499999999999977,-1.6889641509203286,1.3345688232642669e-09,0.7078645631807841
5.562970872937538e-06,0.1200000000000001,-1.6923921414101244,1.3907427182343844e-09,0.6994365726348142
5.7896966983103795e-06,0.125,-1.6958511056361067,1.4474241745775949e-09,0.6909776083521506
6.018725612970391e-06,0.1299999999999999,-1.6993452061537342,1.5046814032425979e-09,0.682483507777266
6.2503265052332915e-06,0.13500000000000023,-1.7028785451581876,1.562581626308323e-09,0.6739501687149119
6.48476480123963e-06,0.14000000000000012,-1.7064551720289365,1.6211912003099074e-09,0.6653735417855535
6.722302940108261e-06,0.14500000000000002,-1.7100790905832692,1.6805757350270653e-09,0.6567496231718364
6.9632008321089345e-06,0.1499999999999999,-1.713754266050581,1.7408002080272337e-09,0.6480744476443001
7.207716300967601e-06,0.1549999999999998,-1.7160259225606223,1.8019290752419004e-09,0.64080279107313
7.456105511365676e-06,0.16000000000000014,-1.7191717730611487,1.864026377841419e-09,0.6326569405105062
7.708623382644488e-06,0.16500000000000004,-1.722272543303073,1.927155845661122e-09,0.6245561702054525
7.965523989679982e-06,0.16999999999999993,-1.7253357279234827,1.9913809974199957e-09,0.6164929855208179
8.227060951847657e-06,0.17499999999999982,-1.7283687072966032,2.0567652379619143e-09,0.6084600060823129
8.493487810956085e-06,0.18000000000000016,-1.731378796526731,2.1233719527390213e-09,0.6004499167855779
8.76505839898945e-06,0.18500000000000005,-1.7343732898504354,2.191264599747363e-09,0.5924554233939814
9.042027196459846e-06,0.18999999999999995,-1.7373595007979974,2.2605067991149617e-09,0.5844692123771771
9.324649682137931e-06,0.19499999999999984,-1.7398293986846367,2.331162420534483e-09,0.5769993144198824
9.613182674895336e-06,0.20000000000000018,-1.7426486648825192,2.403295668723834e-09,0.5691800481498661
9.907884668362845e-06,0.20500000000000007,-1.7454428852377806,2.476971167090711e-09,0.5613858277209296
1.0209016159078365e-05,0.20999999999999996,-1.7482145574226715,2.552254039769591e-09,0.5536141554607559
1.0516839968771735e-05,0.21499999999999986,-1.750966114202777,2.629209992192934e-09,0.5458625986036942
1.083162156140756e-05,0.2200000000000002,-1.753699976206803,2.7079053903518896e-09,0.5381287365209726
1.1153629355582887e-05,0.2250000000000001,-1.7564186085504843,2.7884073388957214e-09,0.5304101040967897
1.1483135032854886e-05,0.22999999999999998,-1.7591245819600294,2.8707837582137218e-09,0.5227041306048683
1.182041384255109e-05,0.23499999999999988,-1.7618206389132003,2.9551034606377723e-09,0.5150080735673779
1.216574490359567e-05,0.23999999999999977,-1.764509765104929,3.0414362258989173e-09,0.507318947289316
1.2519411503867379e-05,0.2450000000000001,-1.767195266350154,3.1298528759668447e-09,0.4996334459556744
